# MCAT built-in flashcards: topic <TAB> front <TAB> back
# Original, high-yield cards spanning every MCAT subject. Add lines to grow the
# bank; the engine seeds them idempotently. Do not use tab characters inside a
# field. Topics must match the intended subdeck / topic-points keys.

# ===== Biochemistry =====
Biochemistry	Name the three basic (positively charged at pH 7) amino acids.	Lysine (K), Arginine (R), Histidine (H). Arg and Lys are fully protonated at pH 7.4; His (pKa ~6) is partially protonated.
Biochemistry	Which amino acids are aromatic?	Phenylalanine (F), Tyrosine (Y), Tryptophan (W). Tyr and Trp absorb UV ~280 nm.
Biochemistry	Which two amino acids are the acidic (negatively charged) ones?	Aspartate (D) and Glutamate (E), deprotonated carboxyl side chains at physiological pH.
Biochemistry	Which amino acid disrupts alpha helices and introduces kinks?	Proline; its side chain locks the backbone and it lacks an amide H for H-bonding.
Biochemistry	What is the rate-limiting enzyme of glycolysis and its key regulators?	Phosphofructokinase-1 (PFK-1); activated by AMP and fructose-2,6-bisphosphate, inhibited by ATP and citrate.
Biochemistry	Net ATP, NADH, and pyruvate yield from glycolysis per glucose?	2 ATP (net), 2 NADH, 2 pyruvate.
Biochemistry	What does the Michaelis constant Km represent?	The substrate concentration at half Vmax; a lower Km means higher enzyme-substrate affinity.
Biochemistry	How do competitive vs noncompetitive inhibitors change Km and Vmax?	Competitive: Km up, Vmax same. Noncompetitive: Km same, Vmax down.
Biochemistry	Products of one turn of the citric acid cycle per acetyl-CoA?	3 NADH, 1 FADH2, 1 GTP, 2 CO2.
Biochemistry	What is the final electron acceptor of the electron transport chain?	Oxygen; it combines with electrons and protons to form water.
Biochemistry	How many ATP per NADH and per FADH2 (standard estimate)?	~2.5 ATP per NADH and ~1.5 ATP per FADH2 via oxidative phosphorylation.
Biochemistry	What enzyme synthesizes ATP using the proton gradient?	ATP synthase (complex V), driven by chemiosmosis across the inner mitochondrial membrane.
Biochemistry	What is the committed step of the citric acid cycle?	Citrate synthase (condensation of acetyl-CoA and oxaloacetate); isocitrate dehydrogenase is the main rate-limiter.
Biochemistry	Distinguish glycogenesis from glycogenolysis.	Glycogenesis builds glycogen (glycogen synthase); glycogenolysis breaks it down (glycogen phosphorylase).
Biochemistry	What hormone activates gluconeogenesis and glycogenolysis in the liver?	Glucagon (and epinephrine), raising blood glucose.
